"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2025","26,620.8","26,325.3","26,629.8","26,291.4","","1.43%"
"02/12/2025","26,244.5","25,949.8","26,276.4","25,924.2","","0.12%"
"02/11/2025","26,213.1","26,135.3","26,313.1","26,130.9","","-0.29%"
"02/10/2025","26,288.9","26,184.2","26,332.9","26,154.1","","1.25%"
"02/07/2025","25,965.0","26,309.2","26,421.6","25,933.7","","-1.29%"
"02/06/2025","26,305.2","26,184.5","26,307.6","26,116.9","","0.54%"
"02/05/2025","26,165.1","25,918.3","26,170.9","25,863.7","","0.42%"
"02/04/2025","26,054.9","25,756.1","26,073.6","25,742.4","","1.26%"
"02/03/2025","25,729.5","25,472.3","25,861.2","25,375.3","","-0.84%"
"01/31/2025","25,947.5","26,169.2","26,392.0","25,884.4","","-0.13%"
"01/30/2025","25,981.5","25,995.6","26,120.8","25,740.6","","0.45%"
"01/29/2025","25,864.7","25,939.1","25,944.9","25,671.8","0.00K","-0.24%"
"01/28/2025","25,927.0","25,592.4","25,972.5","25,419.8","0.00K","1.59%"
"01/27/2025","25,521.4","25,367.9","25,721.0","25,337.3","0.00K","-2.97%"
"01/24/2025","26,302.7","26,473.5","26,509.8","26,224.2","0.00K","-0.58%"
"01/23/2025","26,456.0","26,258.2","26,456.0","26,239.9","0.00K","0.22%"
"01/22/2025","26,398.1","26,281.2","26,506.8","26,281.2","0.00K","1.33%"
"01/21/2025","26,052.0","26,041.5","26,116.9","25,825.6","0.00K","0.58%"
"01/17/2025","25,900.6","25,925.6","25,990.7","25,771.9","0.00K","1.66%"
"01/16/2025","25,477.9","25,760.2","25,767.0","25,473.8","0.00K","-0.69%"
"01/15/2025","25,655.0","25,449.6","25,713.2","25,397.0","0.00K","2.31%"
"01/14/2025","25,074.6","25,242.5","25,330.8","24,911.9","0.00K","-0.13%"
"01/13/2025","25,107.6","24,876.8","25,122.5","24,809.9","","-0.30%"
"01/10/2025","25,183.5","25,382.5","25,386.4","25,027.9","0.00K","-1.57%"
"01/08/2025","25,585.7","25,556.4","25,660.1","25,357.5","0.00K","0.04%"
"01/07/2025","25,574.2","26,113.9","26,115.6","25,487.3","0.00K","-1.79%"
"01/06/2025","26,041.0","26,030.9","26,214.9","25,923.8","0.00K","1.10%"
"01/03/2025","25,758.6","25,481.6","25,799.1","25,456.4","0.00K","1.68%"
"01/02/2025","25,332.1","25,506.5","25,647.3","25,120.6","0.00K","-0.17%"
"12/31/2024","25,376.2","25,670.7","25,695.0","25,336.8","0.00K","-0.87%"
"12/30/2024","25,598.5","25,588.9","25,778.4","25,416.8","0.00K","-1.28%"
"12/27/2024","25,931.5","26,124.8","26,135.9","25,713.2","0.00K","-1.36%"
"12/26/2024","26,288.1","26,246.7","26,371.9","26,140.0","0.00K","-0.13%"
"12/24/2024","26,323.6","26,041.9","26,323.6","26,035.3","0.00K","1.37%"
"12/23/2024","25,967.9","25,800.2","25,976.3","25,631.2","0.00K","1.02%"
"12/20/2024","25,706.5","25,284.5","26,009.8","25,253.2","0.00K","0.85%"
"12/19/2024","25,490.8","25,790.6","25,857.0","25,470.2","0.00K","-0.47%"
"12/18/2024","25,610.1","26,540.2","26,610.9","25,534.7","0.00K","-3.60%"
"12/17/2024","26,566.2","26,569.3","26,639.7","26,469.7","0.00K","-0.43%"
"12/16/2024","26,681.6","26,433.7","26,725.7","26,419.7","0.00K","1.46%"
"12/13/2024","26,298.5","26,309.8","26,427.0","26,136.5","0.00K","0.77%"
"12/12/2024","26,096.7","26,142.1","26,218.1","26,074.2","0.00K","-0.68%"
"12/11/2024","26,276.2","26,006.3","26,301.3","25,998.4","0.00K","1.85%"
"12/10/2024","25,797.9","25,948.0","26,038.0","25,731.6","0.00K","-0.34%"
"12/09/2024","25,885.4","26,045.9","26,089.6","25,837.1","0.00K","-0.83%"
"12/06/2024","26,102.3","25,904.7","26,107.2","25,893.9","0.00K","0.93%"
"12/05/2024","25,861.1","25,937.5","25,972.4","25,844.5","0.00K","-0.30%"
"12/04/2024","25,940.0","25,782.5","25,947.4","25,757.2","0.00K","1.24%"
"12/03/2024","25,622.5","25,474.3","25,630.3","25,444.4","0.00K","0.31%"
"12/02/2024","25,543.3","25,310.6","25,587.3","25,310.6","0.00K","1.12%"
"11/29/2024","25,260.6","25,068.3","25,291.9","25,045.3","0.00K","0.90%"
"11/27/2024","25,035.2","25,165.4","25,166.2","24,879.4","0.00K","-0.85%"
"11/26/2024","25,248.7","25,186.8","25,275.3","25,139.5","0.00K","0.57%"
"11/25/2024","25,106.3","25,243.7","25,340.0","24,994.7","0.00K","0.14%"
"11/22/2024","25,071.6","25,024.9","25,097.0","24,926.2","0.00K","0.17%"
"11/21/2024","25,028.5","25,070.1","25,117.9","24,661.7","0.00K","0.37%"
"11/20/2024","24,935.0","24,927.4","24,946.4","24,615.8","0.00K","-0.08%"
"11/19/2024","24,956.1","24,655.8","24,970.4","24,640.8","0.00K","0.71%"
"11/18/2024","24,780.4","24,673.1","24,880.7","24,614.0","0.00K","0.72%"
"11/15/2024","24,603.1","24,947.9","24,953.5","24,507.8","","-2.39%"
"11/14/2024","25,205.6","25,393.1","25,411.9","25,166.2","","-0.66%"
"11/13/2024","25,373.5","25,389.7","25,516.7","25,275.8","","-0.16%"
"11/12/2024","25,415.0","25,456.8","25,504.1","25,265.3","","-0.17%"
"11/11/2024","25,458.2","25,536.1","25,549.1","25,321.7","","-0.05%"
"11/08/2024","25,470.9","25,430.4","25,516.5","25,390.3","","0.09%"
"11/07/2024","25,448.4","25,200.9","25,486.0","25,200.9","","1.54%"
"11/06/2024","25,061.6","24,808.3","25,092.6","24,754.5","","2.74%"
"11/05/2024","24,393.7","24,171.1","24,419.9","24,171.1","","1.32%"
"11/04/2024","24,075.5","24,133.3","24,248.4","23,997.0","","-0.35%"
"11/01/2024","24,159.0","24,065.7","24,315.0","24,059.9","","0.72%"
"10/31/2024","23,986.0","24,392.1","24,392.1","23,973.8","","-2.43%"
"10/30/2024","24,583.7","24,732.3","24,790.9","24,572.9","","-0.79%"
"10/29/2024","24,780.2","24,561.3","24,839.8","24,471.4","","0.98%"
"10/28/2024","24,539.3","24,664.6","24,683.2","24,531.8","","0.00%"
"10/25/2024","24,540.4","24,543.9","24,782.6","24,504.5","","0.59%"
"10/24/2024","24,396.4","24,353.9","24,424.8","24,256.6","","0.83%"
"10/23/2024","24,196.4","24,481.6","24,492.8","24,037.1","","-1.55%"
"10/22/2024","24,578.2","24,425.5","24,643.7","24,379.5","","0.11%"
"10/21/2024","24,551.5","24,453.8","24,581.9","24,348.4","","0.18%"
"10/18/2024","24,506.3","24,463.5","24,550.0","24,445.5","","0.66%"
"10/17/2024","24,345.2","24,568.1","24,571.0","24,340.4","","0.08%"
"10/16/2024","24,325.5","24,324.0","24,357.5","24,159.9","","0.07%"
"10/15/2024","24,308.3","24,649.5","24,699.6","24,216.3","","-1.37%"
"10/14/2024","24,645.0","24,557.0","24,711.1","24,543.7","","0.82%"
"10/11/2024","24,443.5","24,302.3","24,493.2","24,287.0","","0.15%"
"10/10/2024","24,407.0","24,314.8","24,494.4","24,256.8","","-0.13%"
"10/09/2024","24,439.2","24,232.7","24,458.0","24,172.8","","0.80%"
"10/08/2024","24,245.0","23,997.2","24,275.0","23,971.7","","1.55%"
"10/07/2024","23,874.7","24,060.3","24,103.0","23,829.2","","-1.17%"
"10/04/2024","24,156.9","24,145.1","24,169.8","23,909.1","","1.22%"
"10/03/2024","23,865.6","23,767.9","23,997.4","23,738.8","","-0.05%"
"10/02/2024","23,876.7","23,784.3","23,966.0","23,669.7","","0.17%"
"10/01/2024","23,836.9","24,165.7","24,177.9","23,654.9","","-1.43%"
"09/30/2024","24,183.4","24,061.1","24,197.5","23,932.8","","0.26%"
"09/27/2024","24,119.6","24,286.7","24,293.1","24,066.0","","-0.53%"
"09/26/2024","24,248.0","24,438.2","24,438.2","24,068.9","","0.72%"
"09/25/2024","24,075.7","24,015.0","24,161.1","24,013.7","","0.14%"
"09/24/2024","24,042.2","24,009.3","24,090.0","23,794.9","","0.47%"
"09/23/2024","23,930.5","23,926.3","23,979.5","23,865.0","","0.31%"
"09/20/2024","23,857.4","23,887.3","23,922.7","23,666.0","","-0.24%"
"09/19/2024","23,915.6","23,866.1","24,050.6","23,776.0","","2.58%"
"09/18/2024","23,314.7","23,476.2","23,675.1","23,298.2","","-0.45%"
"09/17/2024","23,420.7","23,550.1","23,618.3","23,305.8","","0.05%"
"09/16/2024","23,408.9","23,396.6","23,436.7","23,253.6","","-0.46%"
"09/13/2024","23,518.2","23,375.4","23,569.0","23,361.6","","0.48%"
"09/12/2024","23,404.9","23,180.0","23,445.1","23,096.1","","0.97%"
"09/11/2024","23,180.5","22,733.1","23,215.5","22,330.1","","2.17%"
"09/10/2024","22,688.6","22,559.7","22,708.7","22,377.2","","0.90%"
"09/09/2024","22,485.6","22,388.0","22,525.5","22,255.0","","1.31%"
"09/06/2024","22,195.6","22,776.0","22,809.4","22,171.1","","-2.67%"
"09/05/2024","22,805.4","22,726.0","23,012.7","22,656.7","","0.05%"
"09/04/2024","22,793.2","22,686.2","22,973.1","22,657.5","","-0.19%"
"09/03/2024","22,837.0","23,414.4","23,414.4","22,729.9","","-3.14%"
"08/30/2024","23,578.1","23,495.8","23,587.2","23,279.4","","1.30%"
"08/29/2024","23,275.7","23,395.9","23,633.7","23,222.9","","-0.13%"
"08/28/2024","23,306.2","23,567.1","23,590.7","23,150.4","","-1.18%"
"08/27/2024","23,584.0","23,426.3","23,627.8","23,328.7","","0.33%"
"08/26/2024","23,505.6","23,701.7","23,759.1","23,410.3","","-1.04%"
"08/23/2024","23,751.7","23,690.1","23,869.1","23,517.7","","1.18%"
"08/22/2024","23,475.8","23,981.0","24,014.2","23,437.3","","-1.68%"
"08/21/2024","23,876.0","23,796.0","23,948.8","23,714.3","","0.53%"
"08/20/2024","23,749.5","23,769.4","23,888.7","23,668.0","","-0.24%"
"08/19/2024","23,805.5","23,510.9","23,806.6","23,418.4","","1.32%"
"08/16/2024","23,494.8","23,356.6","23,558.3","23,336.1","","0.11%"
"08/15/2024","23,468.3","23,181.4","23,483.7","23,167.1","","2.48%"
"08/14/2024","22,900.6","22,926.0","22,997.3","22,677.2","","0.09%"
"08/13/2024","22,881.1","22,542.1","22,889.0","22,540.8","","2.50%"
"08/12/2024","22,322.0","22,329.5","22,470.9","22,191.5","","0.17%"
"08/09/2024","22,284.0","22,116.5","22,349.7","22,044.1","","0.54%"
"08/08/2024","22,163.3","21,788.1","22,201.4","21,623.2","","3.06%"
"08/07/2024","21,505.1","22,080.5","22,201.2","21,485.5","","-1.16%"
"08/06/2024","21,757.6","21,617.5","22,107.6","21,494.0","","1.02%"
"08/05/2024","21,537.3","20,994.9","21,867.5","20,984.0","","-2.96%"
"08/02/2024","22,194.1","22,258.4","22,420.3","21,980.7","","-2.38%"
"08/01/2024","22,735.1","23,319.5","23,515.7","22,550.6","","-2.44%"
"07/31/2024","23,303.3","23,135.3","23,380.5","23,063.2","","3.02%"
"07/30/2024","22,620.0","23,021.1","23,064.3","22,464.7","","-1.38%"
"07/29/2024","22,936.8","23,012.6","23,135.5","22,834.5","","0.19%"
"07/26/2024","22,893.4","22,853.2","23,036.7","22,743.8","","1.03%"
"07/25/2024","22,659.9","22,913.3","23,137.2","22,528.9","","-1.06%"
"07/24/2024","22,902.8","23,436.2","23,444.5","22,870.4","","-3.65%"
"07/23/2024","23,771.5","23,806.4","23,952.4","23,749.8","","-0.35%"
"07/22/2024","23,854.0","23,767.6","23,900.8","23,632.0","","1.54%"
"07/19/2024","23,492.7","23,691.5","23,807.8","23,440.7","","-0.93%"
"07/18/2024","23,712.3","23,990.4","24,004.5","23,556.7","","-0.48%"
"07/17/2024","23,825.4","24,116.9","24,163.7","23,819.0","","-2.94%"
"07/16/2024","24,546.8","24,598.5","24,641.1","24,387.9","","0.06%"
"07/15/2024","24,532.7","24,549.7","24,771.3","24,433.6","","0.27%"
"07/12/2024","24,466.1","24,339.4","24,700.2","24,329.5","","0.59%"
"07/11/2024","24,321.4","24,863.0","24,875.8","24,265.6","","-2.24%"
"07/10/2024","24,879.8","24,708.8","24,898.5","24,644.6","0.00K","1.09%"
"07/09/2024","24,611.8","24,673.4","24,721.2","24,542.7","0.00K","0.07%"
"07/08/2024","24,595.6","24,540.7","24,614.7","24,503.9","0.00K","0.23%"
"07/05/2024","24,538.0","24,336.1","24,556.1","24,308.8","0.00K","1.03%"
"07/03/2024","24,288.4","24,058.2","24,288.4","24,058.2","0.00K","0.88%"
"07/02/2024","24,076.2","23,756.6","24,079.9","23,751.3","0.00K","1.01%"
"07/01/2024","23,836.0","23,725.2","23,854.7","23,553.7","0.00K","0.66%"
"06/28/2024","23,680.4","23,841.8","24,083.2","23,659.9","0.00K","-0.53%"
"06/27/2024","23,806.7","23,748.4","23,881.1","23,701.2","0.00K","0.19%"
"06/26/2024","23,761.0","23,664.8","23,776.1","23,644.5","0.00K","0.25%"
"06/25/2024","23,701.0","23,526.2","23,714.6","23,487.3","0.00K","1.16%"
"06/24/2024","23,428.5","23,637.3","23,727.5","23,426.0","0.00K","-1.13%"
"06/21/2024","23,696.2","23,722.6","23,818.4","23,627.8","0.00K","-0.26%"
"06/20/2024","23,758.6","24,012.0","24,032.4","23,677.7","0.00K","-0.79%"
"06/18/2024","23,946.9","23,941.6","23,985.0","23,861.5","0.00K","0.03%"
"06/17/2024","23,939.2","23,673.5","24,029.5","23,603.5","0.00K","1.24%"
"06/14/2024","23,646.9","23,523.6","23,652.7","23,496.4","0.00K","0.44%"
"06/13/2024","23,543.2","23,581.8","23,618.4","23,419.1","0.00K","0.58%"
"06/12/2024","23,408.4","23,279.8","23,518.7","23,266.6","0.00K","1.33%"
"06/11/2024","23,101.7","22,886.7","23,104.7","22,808.8","0.00K","0.71%"
"06/10/2024","22,938.4","22,782.9","22,956.7","22,777.3","0.00K","0.39%"
"06/07/2024","22,848.4","22,838.3","22,984.1","22,797.5","0.00K","-0.09%"
"06/06/2024","22,869.3","22,907.5","22,930.1","22,818.4","0.00K","-0.07%"
"06/05/2024","22,885.2","22,592.1","22,886.1","22,564.4","0.00K","2.04%"
"06/04/2024","22,428.0","22,359.6","22,479.8","22,268.1","0.00K","0.30%"
"06/03/2024","22,361.4","22,440.5","22,489.1","22,110.9","0.00K","0.35%"
"05/31/2024","22,284.1","22,301.1","22,329.7","21,867.1","0.00K","0.00%"
"05/30/2024","22,284.9","22,458.7","22,485.2","22,223.7","0.00K","-1.05%"
"05/29/2024","22,521.5","22,487.0","22,615.3","22,485.3","0.00K","-0.70%"
"05/28/2024","22,680.7","22,663.6","22,687.7","22,544.3","0.00K","0.32%"
"05/24/2024","22,607.3","22,440.2","22,659.8","22,434.8","0.00K","0.99%"
"05/23/2024","22,385.0","22,726.0","22,726.5","22,302.7","0.00K","-0.44%"
"05/22/2024","22,482.9","22,517.0","22,544.8","22,363.9","0.00K","-0.04%"
"05/21/2024","22,492.7","22,360.7","22,501.6","22,343.8","0.00K","0.21%"
"05/20/2024","22,444.7","22,306.5","22,480.3","22,295.3","0.00K","0.69%"
"05/18/2024","22,290.6","22,321.3","22,290.6","22,290.6","0.00K","0.00%"
"05/17/2024","22,290.6","22,321.3","22,343.6","22,189.7","0.00K","-0.06%"
"05/16/2024","22,304.4","22,342.9","22,438.5","22,298.8","0.00K","-0.19%"
"05/15/2024","22,346.9","22,126.0","22,359.9","22,061.7","0.00K","1.51%"
"05/14/2024","22,014.4","21,851.9","22,034.6","21,837.2","0.00K","0.69%"
"05/13/2024","21,863.9","21,899.7","21,905.8","21,802.6","0.00K","0.21%"
"05/10/2024","21,818.9","21,830.9","21,922.7","21,745.1","0.00K","0.28%"
"05/09/2024","21,758.6","21,737.4","21,788.1","21,637.5","0.00K","0.17%"
"05/08/2024","21,722.4","21,605.6","21,782.9","21,605.6","","-0.04%"
"05/07/2024","21,730.2","21,748.0","21,808.1","21,694.3","","0.00%"
"05/06/2024","21,730.8","21,559.6","21,731.9","21,543.1","","1.14%"
